index,minute,mv
523,0.8717,2261,
524,0.8733,2172,
525,0.875,2084,
526,0.8767,1995,
527,0.8783,1909,
528,0.88,1823,
529,0.8817,1738,
530,0.8833,1656,
531,0.885,1575,
532,0.8867,1496,
533,0.8883,1419,
534,0.89,1345,
535,0.8917,1274,
536,0.8933,1206,
537,0.895,1140,
538,0.8967,1077,
539,0.8983,1016,
540,0.9,958,
541,0.9017,904,
542,0.9033,851,
543,0.905,803,
544,0.9067,755,
545,0.9083,711,
546,0.91,669,
547,0.9117,629,
548,0.9133,592,
549,0.915,557,
550,0.9167,524,
551,0.9183,494,
552,0.92,463,
553,0.9217,437,
554,0.9233,412,
555,0.925,387,
556,0.9267,365,
557,0.9283,345,
558,0.93,325,
559,0.9317,307,
560,0.9333,289,
561,0.935,274,
562,0.9367,258,
563,0.9383,243,
564,0.94,231,
565,0.9417,218,
566,0.9433,207,
567,0.945,196,
568,0.9467,186,
569,0.9483,176,
570,0.95,168,
571,0.9517,159,
572,0.9533,151,
573,0.955,143,
574,0.9567,137,
575,0.9583,130,
576,0.96,123,
577,0.9617,117,
578,0.9633,113,
579,0.965,107,
580,0.9667,102,
581,0.9683,97,
582,0.97,93,
583,0.9717,89,
584,0.9733,84,
585,0.975,81,
586,0.9767,77,
587,0.9783,74,
588,0.98,71,
589,0.9817,67,
590,0.9833,65,
591,0.985,62,
592,0.9867,59,
593,0.9883,57,
594,0.99,54,
595,0.9917,53,
596,0.9933,50,
597,0.995,48,
598,0.9967,47,
599,0.9983,43,
600,1,42,
601,1.0017,40,
602,1.0033,39,
603,1.005,38,
604,1.0067,35,
605,1.0083,34,
606,1.01,32,
607,1.0117,31,
608,1.0133,29,
609,1.015,29,
610,1.0167,27,
611,1.0183,27,
612,1.02,25,
613,1.0217,24,
614,1.0233,23,
615,1.025,21,
616,1.0267,21,
617,1.0283,19,
618,1.03,19,
619,1.0317,17,
620,1.0333,17,
621,1.035,17,
622,1.0367,16,
623,1.0383,15,
624,1.04,14,
625,1.0417,13,
626,1.0433,12,
627,1.045,12,
628,1.0467,12,
629,1.0483,11,
630,1.05,10,
631,1.0517,10,
632,1.0533,9,
633,1.055,9,
634,1.0567,8,
635,1.0583,8,
636,1.06,7,
637,1.0617,7,
638,1.0633,6,
639,1.065,6,
640,1.0667,5,
641,1.0683,5,
642,1.07,4,
643,1.0717,3,
644,1.0733,3,
645,1.075,3,
646,1.0767,2,
647,1.0783,2,
648,1.08,1,
649,1.0817,2,
650,1.0833,1,
651,1.085,1,
652,1.0867,0,
653,1.0883,0,
654,1.09,0,
655,1.0917,-1,
656,1.0933,-1,
657,1.095,-2,
658,1.0967,-1,
659,1.0983,-2,
660,1.1,-2,
661,1.1017,-2,
662,1.1033,-2,
663,1.105,-3,
664,1.1067,-2,
665,1.1083,-3,
666,1.11,-3,
667,1.1117,-3,
668,1.1133,-3,
669,1.115,-4,
670,1.1167,-3,
671,1.1183,-4,
672,1.12,-3,
673,1.1217,-5,
674,1.1233,-4,
675,1.125,-4,
676,1.1267,-5,
677,1.1283,-5,
678,1.13,-5,
679,1.1317,-4,
680,1.1333,-5,
681,1.135,-6,
682,1.1367,-5,
683,1.1383,-6,
684,1.14,-6,
685,1.1417,-6,
686,1.1433,-7,
687,1.145,-6,
688,1.1467,-7,
689,1.1483,-7,
690,1.15,-6,
691,1.1517,-7,
692,1.1533,-7,
693,1.155,-7,
694,1.1567,-7,
695,1.1583,-7,
696,1.16,-7,
697,1.1617,-8,
698,1.1633,-8,
699,1.165,-7,
700,1.1667,-8,
701,1.1683,-8,
702,1.17,-8,
703,1.1717,-9,
704,1.1733,-8,
705,1.175,-8,
706,1.1767,-9,
707,1.1783,-9,
708,1.18,-9,
709,1.1817,-9,
710,1.1833,-9,
711,1.185,-10,
712,1.1867,-9,
713,1.1883,-10,
714,1.19,-9,
715,1.1917,-10,
716,1.1933,-10,
717,1.195,-10,
718,1.1967,-10,
719,1.1983,-10,
720,1.2,-10,
721,1.2017,-11,
722,1.2033,-10,
723,1.205,-10,
724,1.2067,-10,
725,1.2083,-10,
726,1.21,-10,
727,1.2117,-11,
728,1.2133,-10,
729,1.215,-10,
730,1.2167,-10,
731,1.2183,-11,
732,1.22,-10,
733,1.2217,-11,
734,1.2233,-11,
735,1.225,-11,
736,1.2267,-10,
737,1.2283,-11,
738,1.23,-11,
739,1.2317,-10,
740,1.2333,-11,
741,1.235,-11,
742,1.2367,-11,
743,1.2383,-11,
744,1.24,-11,
745,1.2417,-11,
746,1.2433,-12,
747,1.245,-11,
