index,minute,mv
90,0.15,-5000,
91,0.1516667,-5000,
92,0.1533333,-5000,
93,0.155,-5000,
94,0.1566667,-5000,
95,0.1583333,-5000,
96,0.16,-5000,
97,0.1616667,-5000,
98,0.1633333,-5000,
99,0.165,-5000,
100,0.1666667,-5000,
101,0.1683333,-5000,
102,0.17,-5000,
103,0.1716667,-5000,
104,0.1733333,-5000,
105,0.175,-5000,
106,0.1766667,-5000,
107,0.1783333,-5000,
108,0.18,-5000,
109,0.1816667,-5000,
110,0.1833333,-5000,
111,0.185,-5000,
112,0.1866667,-5000,
113,0.1883333,-5000,
114,0.19,-5000,
115,0.1916667,-5000,
116,0.1933333,-5000,
117,0.195,-5000,
118,0.1966667,-5000,
119,0.1983333,-5000,
120,0.2,-5000,
121,0.2016667,-5000,
122,0.2033333,-5000,
123,0.205,-5000,
124,0.2066667,-5000,
125,0.2083333,-5000,
126,0.21,-5000,
127,0.2116667,-5000,
128,0.2133333,-5000,
129,0.215,-5000,
130,0.2166667,-5000,
131,0.2183333,-5000,
132,0.22,-5000,
133,0.2216667,-5000,
134,0.2233333,-5000,
135,0.225,-5000,
136,0.2266667,-5000,
137,0.2283333,-5000,
138,0.23,-5000,
139,0.2316667,-5000,
140,0.2333333,-5000,
141,0.235,-5000,
142,0.2366667,-5000,
143,0.2383333,-5000,
144,0.24,-5000,
145,0.2416667,-5000,
146,0.2433333,-5000,
147,0.245,-5000,
148,0.2466667,-5000,
149,0.2483333,-5000,
150,0.25,-5000,
151,0.2516667,-5000,
152,0.2533333,-5000,
153,0.255,-5000,
154,0.2566667,-5000,
155,0.2583333,-5000,
156,0.26,-5000,
157,0.2616667,-5000,
158,0.2633333,-5000,
159,0.265,-5000,
160,0.2666667,-5000,
161,0.2683333,-5000,
162,0.27,-5000,
163,0.2716667,-5000,
164,0.2733333,-5000,
165,0.275,-5000,
166,0.2766667,-5000,
167,0.2783333,-5000,
168,0.28,-5000,
169,0.2816667,-5000,
170,0.2833333,-5000,
171,0.285,-5000,
172,0.2866667,-5000,
173,0.2883333,-5000,
174,0.29,-5000,
175,0.2916667,-5000,
176,0.2933333,-5000,
177,0.295,-5000,
178,0.2966667,-5000,
179,0.2983333,-5000,
180,0.3,-5000,
181,0.3016667,-5000,
182,0.3033333,-5000,
183,0.305,-5000,
184,0.3066667,-5000,
185,0.3083333,-5000,
186,0.31,-5000,
187,0.3116667,-5000,
188,0.3133333,-5000,
189,0.315,-5000,
190,0.3166667,-5000,
191,0.3183333,-5000,
192,0.32,-5000,
193,0.3216667,-5000,
194,0.3233333,-5000,
195,0.325,-5000,
196,0.3266667,-5000,
197,0.3283333,-5000,
198,0.33,-5000,
199,0.3316667,-5000,
200,0.3333333,-5000,
201,0.335,-5000,
202,0.3366667,-5000,
203,0.3383333,-5000,
204,0.34,-5000,
205,0.3416667,-5000,
206,0.3433333,-5000,
207,0.345,-5000,
208,0.3466667,-5000,
209,0.3483333,-5000,
210,0.35,-5000,
211,0.3516667,-5000,
212,0.3533333,-5000,
213,0.355,-5000,
214,0.3566667,-5000,
215,0.3583333,-5000,
216,0.36,-5000,
217,0.3616667,-5000,
218,0.3633333,-5000,
219,0.365,-5000,
220,0.3666667,-5000,
221,0.3683333,-5000,
222,0.37,-5000,
223,0.3716667,-5000,
224,0.3733333,-5000,
225,0.375,-5000,
226,0.3766667,-5000,
227,0.3783333,-5000,
228,0.38,-5000,
229,0.3816667,-5000,
230,0.3833333,-5000,
231,0.385,-5000,
232,0.3866667,-5000,
233,0.3883333,-5000,
234,0.39,-5000,
235,0.3916667,-5000,
236,0.3933333,-5000,
237,0.395,-5000,
238,0.3966667,-5000,
239,0.3983333,-5000,
240,0.4,-5000,
241,0.4016667,-5000,
242,0.4033333,-5000,
243,0.405,-5000,
244,0.4066667,-5000,
245,0.4083333,-5000,
246,0.41,-5000,
247,0.4116667,-5000,
248,0.4133333,-5000,
249,0.415,-5000,
250,0.4166667,-5000,
251,0.4183333,-5000,
252,0.42,-5000,
253,0.4216667,-5000,
254,0.4233333,-5000,
255,0.425,-5000,
256,0.4266667,-5000,
257,0.4283333,-5000,
258,0.43,-5000,
259,0.4316667,-5000,
260,0.4333333,-5000,
261,0.435,-5000,
262,0.4366667,-5000,
263,0.4383333,-5000,
264,0.44,-5000,
265,0.4416667,-5000,
266,0.4433333,-5000,
267,0.445,-5000,
268,0.4466667,-5000,
269,0.4483333,-5000,
270,0.45,-5000,
271,0.4516667,-5000,
272,0.4533333,-5000,
273,0.455,-5000,
274,0.4566667,-5000,
275,0.4583333,-5000,
276,0.46,-5000,
277,0.4616667,-5000,
278,0.4633333,-5000,
279,0.465,-5000,
280,0.4666667,-5000,
281,0.4683333,-5000,
282,0.47,-5000,
283,0.4716667,-5000,
284,0.4733333,-5000,
285,0.475,-5000,
